
[1mTotal memory size:[0m 24000 B, 23 KiB, 0 MiB

[1m Step    Time, s Interact/s  GFLOP/s  Delta x  Delta y  Delta z[0m
    0  1.069e-02  9.354e+07      1.6 4.45306 4.57527 4.62745 (warm up)
    1  1.071e-02  9.341e+07      1.6 4.43443 4.55688 4.6101 (warm up)
    2  1.170e-02  8.546e+07      1.5 4.40083 4.52531 4.5805 (warm up)
    3  1.177e-02  8.494e+07      1.4 4.38122 4.49966 4.55333 
    4  1.154e-02  8.663e+07      1.5 4.37594 4.4825 4.53071 
    5  1.132e-02  8.836e+07      1.5 4.38129 4.47151 4.511 
    6  1.100e-02  9.088e+07      1.5 4.39538 4.46533 4.49531 
    7  1.160e-02  8.620e+07      1.5 4.41735 4.46424 4.48358 
    8  1.182e-02  8.457e+07      1.4 4.44322 4.46565 4.47853 
    9  1.526e-02  6.551e+07      1.1 4.47517 4.47229 4.4772 
   10  1.457e-02  6.862e+07      1.2 4.50984 4.48204 4.47937 
   11  1.222e-02  8.184e+07      1.4 4.54916 4.49245 4.48456 
   12  1.279e-02  7.817e+07      1.3 4.59149 4.50105 4.49279 
-----------------------------------------------------
[1mAverage performance:      [42m       1.4 +- 0.1 GFLOP/s[0m
-----------------------------------------------------
Average delta:	4.47677
-----------------------------------------------------
