
[1mTotal memory size:[0m 24000 B, 23 KiB, 0 MiB

[1m Step    Time, s Interact/s  GFLOP/s  Delta x  Delta y  Delta z[0m
    0  4.617e-03  2.166e+08      3.7 4.45306 4.57527 4.62745 (warm up)
    1  4.626e-03  2.162e+08      3.7 4.43443 4.55688 4.6101 (warm up)
    2  4.649e-03  2.151e+08      3.7 4.40083 4.52531 4.5805 (warm up)
    3  4.680e-03  2.137e+08      3.6 4.38122 4.49966 4.55333 
    4  4.622e-03  2.164e+08      3.7 4.37594 4.4825 4.53071 
    5  4.653e-03  2.149e+08      3.7 4.38127 4.47151 4.511 
    6  4.659e-03  2.146e+08      3.7 4.39535 4.46533 4.49531 
    7  4.621e-03  2.164e+08      3.7 4.41732 4.46424 4.4836 
    8  4.650e-03  2.151e+08      3.7 4.44319 4.46579 4.47842 
    9  4.619e-03  2.165e+08      3.7 4.47514 4.47204 4.47697 
   10  4.633e-03  2.158e+08      3.7 4.50981 4.48166 4.47902 
   11  4.620e-03  2.165e+08      3.7 4.54912 4.49195 4.4841 
   12  4.621e-03  2.164e+08      3.7 4.59155 4.5004 4.49219 
-----------------------------------------------------
[1mAverage performance:      [42m       3.7 +- 0.0 GFLOP/s[0m
-----------------------------------------------------
Average delta:	4.47665
-----------------------------------------------------
