
[1mTotal memory size:[0m 24000 B, 23 KiB, 0 MiB

[1m Step    Time, s Interact/s  GFLOP/s  Delta x  Delta y  Delta z[0m
    0  4.836e-03  2.068e+08      3.5 4.45306 4.57527 4.62745 (warm up)
    1  4.526e-03  2.210e+08      3.8 4.43443 4.55688 4.6101 (warm up)
    2  4.927e-03  2.030e+08      3.5 4.40083 4.52531 4.5805 (warm up)
    3  5.551e-03  1.802e+08      3.1 4.38122 4.49966 4.55333 
    4  4.489e-03  2.228e+08      3.8 4.37594 4.4825 4.53071 
    5  4.538e-03  2.204e+08      3.7 4.38129 4.47151 4.511 
    6  5.666e-03  1.765e+08      3.0 4.39538 4.46533 4.49531 
    7  4.568e-03  2.189e+08      3.7 4.41735 4.46424 4.48358 
    8  4.689e-03  2.133e+08      3.6 4.44322 4.46565 4.47853 
    9  5.165e-03  1.936e+08      3.3 4.47517 4.47229 4.4772 
   10  4.679e-03  2.137e+08      3.6 4.50984 4.48204 4.47937 
   11  4.528e-03  2.208e+08      3.8 4.54916 4.49245 4.48456 
   12  4.540e-03  2.203e+08      3.7 4.59149 4.50105 4.49279 
-----------------------------------------------------
[1mAverage performance:      [42m       3.5 +- 0.3 GFLOP/s[0m
-----------------------------------------------------
Average delta:	4.47677
-----------------------------------------------------
